date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:59:54	108021/108021	---M--	200	added ('OK')	image/jpeg	etag:%221a5f5-5f8bde96cc0c5%22	https://demo.templatesjungle.com/ministore/images/post-image1.jpg	C:/Users/jonku/Desktop/Final2/demo.templatesjungle.com/ministore/images/post-image1.jpg	(from https://demo.templatesjungle.com/ministore/single-post.html)
20:59:56	18284/18284	---M--	200	added ('OK')	image/jpeg	etag:%22476c-5f8bde90ca06a%22	https://demo.templatesjungle.com/ministore/images/commentor-item1.jpg	C:/Users/jonku/Desktop/Final2/demo.templatesjungle.com/ministore/images/commentor-item1.jpg	(from https://demo.templatesjungle.com/ministore/single-post.html)
20:59:57	20298/20298	---M--	200	added ('OK')	image/jpeg	etag:%224f4a-5f8bde91c57af%22	https://demo.templatesjungle.com/ministore/images/commentor-item2.jpg	C:/Users/jonku/Desktop/Final2/demo.templatesjungle.com/ministore/images/commentor-item2.jpg	(from https://demo.templatesjungle.com/ministore/single-post.html)
20:59:58	14723/14723	---M--	200	added ('OK')	image/jpeg	etag:%223983-5f8bde91d420d%22	https://demo.templatesjungle.com/ministore/images/commentor-item3.jpg	C:/Users/jonku/Desktop/Final2/demo.templatesjungle.com/ministore/images/commentor-item3.jpg	(from https://demo.templatesjungle.com/ministore/single-post.html)
21:00:00	334350/334350	---M--	200	added ('OK')	image/jpeg	etag:%2251a0e-5f8bdea55bebf%22	https://demo.templatesjungle.com/ministore/images/single-post.jpg	C:/Users/jonku/Desktop/Final2/demo.templatesjungle.com/ministore/images/single-post.jpg	(from https://demo.templatesjungle.com/ministore/single-post.html)
21:00:00	3551/3551	---M--	200	added ('OK')	image/jpeg	etag:%22ddf-5f8bdea13ad62%22	https://demo.templatesjungle.com/ministore/images/review-item1.jpg	C:/Users/jonku/Desktop/Final2/demo.templatesjungle.com/ministore/images/review-item1.jpg	(from https://demo.templatesjungle.com/ministore/single-product.html)
21:00:01	5939/5939	---M--	200	added ('OK')	image/jpeg	etag:%221733-5f8bdea161e5b%22	https://demo.templatesjungle.com/ministore/images/review-item2.jpg	C:/Users/jonku/Desktop/Final2/demo.templatesjungle.com/ministore/images/review-item2.jpg	(from https://demo.templatesjungle.com/ministore/single-product.html)
21:00:02	305476/305476	---M--	200	added ('OK')	image/jpeg	etag:%224a944-5f8bde9b2066a%22	https://demo.templatesjungle.com/ministore/images/post-item6.jpg	C:/Users/jonku/Desktop/Final2/demo.templatesjungle.com/ministore/images/post-item6.jpg	(from https://demo.templatesjungle.com/ministore/blog.html)
21:00:03	86901/86901	---M--	200	added ('OK')	image/jpeg	etag:%2215375-5f8bdea3565d6%22	https://demo.templatesjungle.com/ministore/images/single-image2.jpg	C:/Users/jonku/Desktop/Final2/demo.templatesjungle.com/ministore/images/single-image2.jpg	(from https://demo.templatesjungle.com/ministore/contact.html)
21:00:05	146851/146851	---M--	200	added ('OK')	image/jpeg	etag:%2223da3-5f8bdea30aaf3%22	https://demo.templatesjungle.com/ministore/images/singel-product-item.jpg	C:/Users/jonku/Desktop/Final2/demo.templatesjungle.com/ministore/images/singel-product-item.jpg	(from https://demo.templatesjungle.com/ministore/single-product.html)
21:00:25	309705/309705	---M--	200	added ('OK')	image/jpeg	etag:%224b9c9-5f8bde9be3b49%22	https://demo.templatesjungle.com/ministore/images/post-item8.jpg	C:/Users/jonku/Desktop/Final2/demo.templatesjungle.com/ministore/images/post-item8.jpg	(from https://demo.templatesjungle.com/ministore/blog.html)
